iter	Passed	Remaining
0	66	132927
1	68	67934
2	70	47092
3	72	35969
4	72	29004
5	74	24615
6	75	21383
7	76	18983
8	77	17097
9	78	15565
10	79	14462
11	80	13409
12	82	12570
13	83	11812
14	84	11181
15	86	10709
16	87	10232
17	89	9833
18	90	9400
19	90	8989
20	91	8654
21	92	8324
22	93	8033
23	94	7776
24	95	7554
25	97	7372
26	98	7220
27	100	7079
28	102	6936
29	102	6721
30	103	6600
31	105	6459
32	105	6307
33	106	6142
34	107	6024
35	108	5897
36	109	5821
37	111	5745
38	112	5668
39	113	5566
40	116	5550
41	117	5475
42	119	5428
43	120	5342
44	121	5266
45	122	5193
46	123	5146
47	124	5078
48	125	5006
49	126	4933
50	128	4903
51	129	4838
52	130	4781
53	131	4725
54	132	4692
55	133	4647
56	134	4593
57	136	4554
58	137	4531
59	138	4480
60	139	4446
61	140	4406
62	141	4361
63	143	4344
64	145	4326
65	145	4276
66	146	4222
67	147	4189
68	149	4169
69	150	4136
70	151	4108
71	152	4072
72	153	4048
73	154	4022
74	156	4013
75	157	3981
76	158	3955
77	159	3929
78	160	3902
79	161	3886
80	162	3857
81	163	3825
82	164	3798
83	165	3770
84	165	3733
85	166	3702
86	167	3673
87	167	3646
88	168	3625
89	169	3591
90	170	3572
91	171	3566
92	172	3540
93	173	3519
94	175	3515
95	176	3493
96	176	3472
97	177	3452
98	178	3435
99	180	3425
100	181	3406
101	182	3389
102	183	3370
103	183	3349
104	184	3333
105	186	3339
106	187	3318
107	189	3321
108	190	3303
109	191	3286
110	192	3279
111	193	3262
112	194	3247
113	195	3240
114	197	3230
115	198	3218
116	198	3201
117	199	3187
118	200	3175
119	202	3165
120	203	3155
121	204	3146
122	205	3137
123	206	3124
124	208	3124
125	209	3118
126	210	3107
127	211	3094
128	212	3082
129	213	3072
130	214	3058
131	216	3060
132	217	3051
133	218	3045
134	220	3040
135	221	3034
136	222	3024
137	223	3017
138	225	3020
139	226	3011
140	227	3004
141	229	2997
142	230	2992
143	231	2989
144	233	2984
145	234	2979
146	236	2976
147	238	2979
148	239	2978
149	241	2978
150	242	2969
151	243	2960
152	245	2960
153	246	2949
154	247	2942
155	248	2942
156	249	2932
157	250	2923
158	251	2915
159	252	2907
160	253	2897
161	254	2887
162	255	2879
163	257	2879
164	258	2874
165	259	2865
166	260	2858
167	261	2847
168	261	2837
169	262	2827
170	264	2826
171	266	2833
172	267	2824
173	268	2817
174	269	2810
175	270	2805
176	271	2798
177	272	2793
178	274	2792
179	275	2784
180	276	2778
181	278	2779
182	279	2773
183	280	2765
184	281	2758
185	282	2752
186	284	2753
187	284	2744
188	285	2735
189	286	2733
190	288	2728
191	289	2722
192	290	2717
193	291	2710
194	291	2702
195	292	2695
196	294	2693
197	295	2687
198	296	2680
199	297	2674
200	297	2666
201	299	2661
202	299	2653
203	300	2646
204	302	2646
205	303	2640
206	304	2635
207	305	2633
208	306	2627
209	307	2622
210	308	2616
211	309	2610
212	310	2603
213	311	2600
214	312	2594
215	313	2588
216	315	2589
217	316	2587
218	318	2588
219	320	2591
220	321	2586
221	322	2580
222	323	2579
223	324	2576
224	325	2569
225	327	2568
226	328	2562
227	329	2557
228	330	2552
229	331	2547
230	332	2546
231	334	2546
232	335	2541
233	336	2537
234	337	2536
235	338	2531
236	339	2526
237	340	2522
238	341	2516
239	343	2519
240	344	2514
241	345	2509
242	346	2503
243	347	2499
244	348	2499
245	349	2494
246	350	2490
247	351	2485
248	352	2479
249	353	2474
250	354	2470
251	355	2464
252	356	2459
253	357	2454
254	358	2450
255	358	2444
256	359	2440
257	361	2438
258	362	2438
259	363	2434
