ID,Start time,Completion time,Email,Name,Last modified time,Primary Department Question,Average Monthly Overtime,How many years has it been since your last job title change or promotion?,Satisfaction,Risk,"Has your specific department experienced staff layoffs or ""firing"" in the last 12 months?",Security,"If you left today, how easy would it be to find a similar role elsewhere?",Are you actively planning to leave your current company or looking for a new job within the next 6 months?
1,2001-10-26 14:11,2001-10-26 14:13,anonymous,,,IT / Software Engineering,0 hours,0.0,Neutral,Very High,No,Very Secure,Neutral,No
2,2001-10-26 14:15,2001-10-26 14:17,anonymous,,,IT / Software Engineering,0 hours,2.0,Satisfied,High,No,Secure,Neutral,No
3,2001-10-26 14:15,2001-10-26 14:18,anonymous,,,"HR, Sales & Marketing",1–10 hours,2.5,Neutral,Low,Yes,Very Unstable,Very Easy,No
4,2001-10-26 14:22,2001-10-26 14:24,anonymous,,,IT / Software Engineering,0 hours,3.0,Neutral,High,No,Unstable,Difficult,Yes
5,2001-10-26 14:26,2001-10-26 14:28,anonymous,,,"HR, Sales & Marketing",0 hours,1.0,Satisfied,Very Low,No,Secure,Very Easy,No
6,2001-10-26 14:38,2001-10-26 14:40,anonymous,,,"HR, Sales & Marketing",1–10 hours,1.0,Neutral,Low,No,Medium,Very Easy,No
7,2001-10-26 15:03,2001-10-26 15:06,anonymous,,,IT / Software Engineering,0 hours,0.0,Neutral,Very High,No,Medium,Easy,Yes
8,2001-10-26 15:27,2001-10-26 15:28,anonymous,,,IT / Software Engineering,0 hours,1.0,Neutral,High,No,Medium,Difficult,No
9,2001-10-26 15:41,2001-10-26 15:45,anonymous,,,IT / Software Engineering,20+ hours,1.0,Very Dissatisfied,Very High,Yes,Very Unstable,Difficult,Yes
10,2001-10-26 16:07,2001-10-26 16:10,anonymous,,,IT / Software Engineering,1–10 hours,0.5,Very Dissatisfied,High,Yes,Very Unstable,Difficult,Yes
11,2001-10-26 16:50,2001-10-26 16:52,anonymous,,,Other,1–10 hours,6.0,Satisfied,Medium,No,Secure,Neutral,No
12,2001-10-26 16:56,2001-10-26 16:58,anonymous,,,IT / Software Engineering,1–10 hours,2.0,Neutral,High,Yes,Unstable,Neutral,Yes
13,2001-10-26 17:22,2001-10-26 17:23,anonymous,,,IT / Software Engineering,1–10 hours,1.0,Dissatisfied,Very High,Yes,Unstable,Difficult,Yes
14,2001-10-26 17:38,2001-10-26 17:40,anonymous,,,Other,1–10 hours,2.0,Satisfied,Medium,Yes,Secure,Easy,No
15,2001-10-26 17:54,2001-10-26 17:56,anonymous,,,Other,20+ hours,1.0,Satisfied,Medium,Yes,Medium,Difficult,No
